ID,Prob1
0, 0.64
1, 0.49
2, 0.27
3, 0.20
4, 0.31
5, 0.30
6, 0.31
7, 0.37
8, 0.22
9, 0.34
10, 0.41
11, 0.32
12, 0.37
13, 0.58
14, 0.28
15, 0.38
16, 0.30
17, 0.64
18, 0.20
19, 0.31
20, 0.60
21, 0.33
22, 0.30
23, 0.39
24, 0.28
25, 0.50
26, 0.59
27, 0.35
28, 0.33
29, 0.27
30, 0.37
31, 0.34
32, 0.34
33, 0.48
34, 0.52
35, 0.44
36, 0.31
37, 0.28
38, 0.46
39, 0.33
40, 0.29
41, 0.61
42, 0.36
43, 0.45
44, 0.46
45, 0.29
46, 0.51
47, 0.48
48, 0.66
49, 0.40
50, 0.36
51, 0.28
52, 0.63
53, 0.36
54, 0.32
55, 0.33
56, 0.21
57, 0.37
58, 0.46
59, 0.30
60, 0.28
61, 0.27
62, 0.39
63, 0.45
64, 0.37
65, 0.26
66, 0.37
67, 0.36
68, 0.28
69, 0.42
70, 0.24
71, 0.37
72, 0.42
73, 0.44
74, 0.67
75, 0.43
76, 0.48
77, 0.47
78, 0.40
79, 0.30
80, 0.36
81, 0.61
82, 0.51
83, 0.36
84, 0.42
85, 0.44
86, 0.60
87, 0.51
88, 0.35
89, 0.31
90, 0.33
91, 0.30
92, 0.57
93, 0.71
94, 0.40
95, 0.37
96, 0.18
97, 0.30
98, 0.50
99, 0.36
100, 0.60
101, 0.50
102, 0.29
103, 0.54
104, 0.26
105, 0.38
106, 0.43
107, 0.59
108, 0.45
109, 0.38
110, 0.32
111, 0.51
112, 0.77
113, 0.37
114, 0.25
115, 0.29
116, 0.25
117, 0.35
118, 0.28
119, 0.38
120, 0.62
121, 0.57
122, 0.29
123, 0.44
124, 0.22
125, 0.32
126, 0.50
127, 0.37
128, 0.70
129, 0.64
130, 0.27
131, 0.30
132, 0.42
133, 0.42
134, 0.61
135, 0.75
136, 0.39
137, 0.63
138, 0.21
139, 0.55
140, 0.36
141, 0.30
142, 0.68
143, 0.37
144, 0.56
145, 0.32
146, 0.47
147, 0.39
148, 0.29
149, 0.32
150, 0.56
151, 0.70
152, 0.33
