ID,Prob1
0, 1.00
1, 0.70
2, 0.10
3, 0.00
4, 0.10
5, 0.10
6, 0.30
7, 0.60
8, 0.00
9, 0.20
10, 0.29
11, 0.10
12, 0.80
13, 0.70
14, 0.10
15, 0.00
16, 0.50
17, 0.90
18, 0.10
19, 0.40
20, 0.65
21, 0.78
22, 0.20
23, 0.00
24, 0.70
25, 1.00
26, 0.40
27, 0.15
28, 0.10
29, 0.50
30, 0.56
31, 0.30
32, 0.20
33, 0.00
34, 0.70
35, 0.40
36, 0.20
37, 0.10
38, 0.50
39, 0.10
40, 0.00
41, 0.10
42, 0.30
43, 0.20
44, 1.00
45, 0.00
46, 0.70
47, 0.10
48, 1.00
49, 0.40
50, 0.27
51, 0.00
52, 1.00
53, 0.20
54, 0.00
55, 0.41
56, 0.00
57, 1.00
58, 0.10
59, 0.00
60, 0.00
61, 0.50
62, 0.00
63, 0.80
64, 0.00
65, 0.00
66, 0.14
67, 0.10
68, 0.00
69, 0.50
70, 0.00
71, 0.00
72, 0.30
73, 0.50
74, 0.40
75, 0.47
76, 0.00
77, 0.10
78, 0.10
79, 0.10
80, 0.10
81, 0.92
82, 0.30
83, 0.61
84, 0.13
85, 0.20
86, 0.86
87, 0.73
88, 0.00
89, 0.10
90, 0.00
91, 0.30
92, 1.00
93, 0.90
94, 0.35
95, 0.47
96, 0.00
97, 0.30
98, 0.80
99, 0.10
100, 0.60
101, 0.70
102, 0.20
103, 0.65
104, 0.00
105, 0.30
106, 0.10
107, 1.00
108, 0.20
109, 0.10
110, 0.00
111, 0.40
112, 1.00
113, 0.40
114, 0.20
115, 0.40
116, 0.10
117, 0.13
118, 0.00
119, 0.30
120, 0.37
121, 0.60
122, 0.15
123, 0.00
124, 0.00
125, 0.23
126, 0.30
127, 0.71
128, 1.00
129, 1.00
130, 0.10
131, 0.20
132, 0.80
133, 0.60
134, 0.58
135, 0.90
136, 0.30
137, 0.80
138, 0.00
139, 0.30
140, 0.20
141, 0.43
142, 0.70
143, 0.03
144, 0.73
145, 0.10
146, 0.95
147, 0.20
148, 0.40
149, 0.10
150, 0.70
151, 0.67
152, 0.07
153, 0.58
154, 0.20
155, 0.00
156, 0.24
157, 0.10
158, 0.40
159, 0.75
160, 0.40
161, 0.30
162, 0.39
163, 0.20
164, 1.00
165, 0.60
166, 0.20
167, 0.80
168, 0.30
169, 0.00
170, 0.40
171, 0.02
172, 0.30
173, 0.20
174, 0.15
175, 0.20
176, 0.40
177, 0.10
178, 0.38
179, 0.80
180, 0.80
181, 0.00
182, 0.30
183, 0.40
184, 0.10
185, 0.24
186, 0.30
187, 0.10
188, 0.50
189, 0.50
190, 0.10
191, 0.50
192, 0.68
193, 0.76
194, 0.00
195, 0.20
196, 0.90
197, 0.00
198, 0.90
199, 0.50
200, 0.40
201, 0.90
202, 0.30
203, 0.10
204, 0.40
205, 0.00
206, 0.30
207, 0.00
208, 0.26
209, 0.13
210, 0.20
211, 0.13
212, 0.40
213, 0.10
214, 0.60
215, 0.00
216, 0.70
217, 0.60
218, 0.50
219, 0.69
220, 0.90
221, 0.17
222, 0.70
223, 0.30
224, 0.90
225, 0.70
226, 1.00
227, 0.20
228, 0.20
229, 0.10
230, 0.82
231, 0.96
232, 0.10
233, 0.00
234, 0.27
235, 0.20
236, 0.30
237, 0.00
238, 0.50
239, 0.20
240, 0.46
241, 0.00
242, 0.10
243, 0.91
244, 0.00
245, 0.60
246, 0.50
247, 0.77
248, 0.70
249, 0.37
250, 0.50
251, 0.90
252, 0.20
253, 0.00
254, 0.10
255, 0.80
256, 1.00
257, 0.20
258, 0.40
259, 0.70
260, 0.00
261, 0.20
262, 0.00
263, 0.10
264, 0.23
265, 0.00
266, 0.00
267, 0.20
268, 0.24
269, 0.37
270, 0.00
271, 0.40
272, 0.60
273, 0.30
274, 0.30
275, 0.80
276, 0.17
277, 0.40
278, 0.10
279, 0.60
280, 0.00
281, 0.10
282, 0.40
283, 0.20
284, 0.30
285, 0.70
286, 0.00
287, 0.00
288, 0.00
289, 0.50
290, 0.93
291, 0.10
292, 0.37
293, 0.00
294, 0.30
295, 0.80
296, 0.00
297, 0.40
298, 0.22
299, 0.70
300, 0.30
301, 0.10
302, 0.80
303, 0.80
304, 0.05
305, 0.00
306, 0.00
307, 0.00
308, 0.30
309, 0.90
310, 0.00
311, 0.35
312, 0.30
313, 0.05
314, 0.90
315, 0.50
316, 1.00
317, 0.00
318, 0.10
319, 0.54
320, 0.37
321, 0.10
322, 0.20
323, 0.60
324, 0.36
325, 0.10
326, 0.85
327, 0.30
328, 0.12
329, 0.80
330, 0.80
331, 0.00
332, 0.60
333, 0.20
334, 0.97
335, 0.30
336, 0.20
337, 0.00
338, 0.00
339, 0.16
340, 0.80
341, 0.12
342, 0.60
343, 0.45
344, 0.00
345, 0.23
346, 0.10
347, 0.10
348, 0.00
349, 0.00
350, 0.00
351, 0.47
352, 0.20
353, 0.43
354, 0.10
355, 0.42
356, 0.00
357, 0.30
358, 0.20
359, 0.00
360, 0.00
361, 0.17
362, 0.70
363, 0.20
364, 0.00
365, 1.00
366, 0.10
367, 0.50
368, 0.89
369, 0.50
370, 0.65
371, 0.20
372, 1.00
373, 0.20
374, 0.87
375, 0.20
376, 0.60
377, 0.15
378, 0.85
379, 0.00
380, 0.90
381, 0.20
382, 0.20
383, 0.10
384, 0.20
385, 0.35
386, 0.50
387, 0.60
388, 0.00
389, 0.42
390, 0.34
391, 0.00
392, 0.67
393, 0.20
394, 0.60
395, 0.00
396, 0.30
397, 0.00
398, 0.40
399, 0.00
400, 0.00
401, 1.00
402, 0.20
403, 0.10
404, 0.28
405, 0.10
406, 0.20
407, 0.00
408, 0.10
409, 0.10
410, 0.07
411, 0.70
412, 0.62
413, 0.90
414, 0.30
415, 0.07
416, 0.20
417, 0.05
418, 0.00
419, 0.00
420, 0.40
421, 0.90
422, 0.10
423, 0.30
424, 0.65
425, 0.30
426, 0.00
427, 0.20
428, 0.20
429, 0.70
430, 0.10
431, 0.60
432, 0.30
433, 0.50
434, 0.10
435, 0.08
436, 0.90
437, 0.30
438, 0.50
439, 0.30
440, 0.20
441, 0.00
442, 0.40
443, 0.60
444, 0.30
445, 0.00
446, 0.30
447, 0.07
448, 0.00
449, 0.25
450, 1.00
451, 0.00
452, 0.10
453, 0.80
454, 0.50
455, 0.90
456, 1.00
457, 0.30
458, 0.05
459, 0.13
460, 0.30
461, 0.10
462, 0.00
463, 0.90
464, 0.00
465, 0.10
466, 0.86
467, 0.10
468, 0.20
469, 0.40
470, 0.20
471, 0.00
472, 0.40
473, 0.50
474, 0.40
475, 0.10
476, 0.05
477, 0.30
478, 0.20
479, 0.50
480, 0.70
481, 0.00
482, 0.00
483, 0.21
484, 0.90
485, 0.60
486, 0.30
487, 0.20
488, 0.49
489, 0.10
490, 0.40
491, 0.60
492, 0.00
493, 0.10
494, 0.00
495, 0.30
496, 0.70
497, 0.35
498, 0.90
499, 0.00
500, 0.20
501, 0.10
502, 0.80
503, 0.17
504, 0.10
505, 0.80
506, 0.47
507, 0.95
508, 0.20
509, 0.60
510, 0.10
511, 0.59
512, 0.10
513, 0.91
514, 0.80
515, 0.10
516, 0.13
517, 0.76
518, 0.55
519, 0.00
520, 0.38
